song,artist,name,knowledge,year,year_dec
Gangnam Style,Psy,J,singing the lyrics,2012,2010
The Lazy Song,Bruno Mars,J,singing the lyrics,2011,2010
The Safety Dance,Men Without Hats,J,singing the lyrics,1983,1980
Signs,Five Man Electrical Band,J,singing the lyrics,1971,1970
The Joker,Steve Miller Band,J,singing the lyrics,1973,1970
Barbara Ann,"Beach Boys, The",J,singing the lyrics,1966,1960
I Got You Babe,Sonny and Cher,J,singing the lyrics,1965,1960
Kryptonite,3 Doors Down,M,don't know it,2000,2000
God Bless The U.S.A.,American Idol Finalists,M,don't know it,2003,2000
Be Without You,Mary J. Blige,M,don't know it,2006,2000
Holidae In,Chingy,M,don't know it,2003,2000
Tipsy,J-Kwon,M,don't know it,2004,2000
Oh Boy,Cam'ron,M,don't know it,2002,2000
Let Me Hold You,Bow Wow,M,don't know it,2005,2000
I Believe,Fantasia,M,don't know it,2004,2000
Into You,Fabolous,M,don't know it,2003,2000
Gangsta Lean,D.R.S.,M,don't know it,1993,1990
Rush Rush,Paula Abdul,M,don't know it,1991,1990
Humpin' Around,Bobby Brown,M,don't know it,1992,1990
Unpretty,TLC,M,don't know it,1999,1990
The First Night,Monica,M,don't know it,1998,1990
Coming Out Of The Dark,Gloria Estefan,M,don't know it,1991,1990
Rub You The Right Way,Johnny Gill,M,don't know it,1990,1990
I Still Believe,Mariah Carey,M,don't know it,1999,1990
You Make Me Wanna..,Usher,M,don't know it,1997,1990
"Any Time, Any Place",Janet Jackson,M,don't know it,1994,1990
Have You Ever?,Brandy,M,don't know it,1999,1990
Never Forget You,Mariah Carey,M,don't know it,1994,1990
I Want You,Savage Garden,M,don't know it,1997,1990
Knockin' Da Boots,H-Town,M,don't know it,1993,1990
Without You,David Guetta Featuring Usher,M,don't know it,2011,2010
South Street,"Orlons, The",M,don't know it,1963,1960
I Second That Emotion,Smokey Robinson,M,don't know it,1967,1960
Can't Get Used To Losing You,Andy Williams,M,don't know it,1963,1960
Beauty Is Only Skin Deep,"Temptations, The",M,don't know it,1966,1960
I Want To Be Wanted,Brenda Lee,M,don't know it,1960,1960
Stoned Soul Picnic,"5th Dimension, The",M,don't know it,1968,1960
1,Len Barry,M,don't know it,1965,1960
Release Me,Engelbert Humperdinck,M,don't know it,1967,1960
The Theme From A Summer Place,Percy Faith,M,don't know it,1960,1960
Yo-Yo,"Osmonds, The",M,don't know it,1971,1970
The Morning After,Maureen McGovern,M,don't know it,1973,1970
Sundown,Gordon Lightfoot,M,don't know it,1974,1970
You're Sixteen,Ringo Starr,M,don't know it,1974,1970
Candida,Dawn,M,don't know it,1970,1970
Maggie May,Rod Stewart,M,don't know it,1971,1970
Give Me Love,George Harrison,M,don't know it,1973,1970
Stumblin' In,Suzi Quatro,M,don't know it,1979,1970
Baby I'm-A Want You,Bread,M,don't know it,1971,1970
Bad Time,Grand Funk,M,don't know it,1975,1970
That's Rock 'N' Roll,Shaun Cassidy,M,don't know it,1977,1970
Reminiscing,Little River Band,M,don't know it,1978,1970
Torn Between Two Lovers,Mary MacGregor,M,don't know it,1977,1970
Got To Be There,Michael Jackson,M,don't know it,1971,1970
I'm Not Lisa,Jessi Colter,M,don't know it,1975,1970
A Little More Love,Olivia Newton-John,M,don't know it,1979,1970
The Bitch Is Back,Elton John,M,don't know it,1974,1970
Handy Man,James Taylor,M,don't know it,1977,1970
Knock Three Times,Dawn,M,don't know it,1970,1970
Shambala,Three Dog Night,M,don't know it,1973,1970
Foolish Beat,Debbie Gibson,M,don't know it,1988,1980
Overkill,Men At Work,M,don't know it,1983,1980
Carrie,Europe,M,don't know it,1987,1980
Total Eclipse Of The Heart,Bonnie Tyler,M,don't know it,1983,1980
He's So Shy,Pointer Sisters,M,don't know it,1980,1980
Don't Mean Nothing,Richard Marx,M,don't know it,1987,1980
"Tonight, Tonight, Tonight",Genesis,M,don't know it,1987,1980
Good Thing,Fine Young Cannibals,M,don't know it,1989,1980
Land Of Confusion,Genesis,M,don't know it,1987,1980
You're The Inspiration,Chicago,M,don't know it,1985,1980
When I'm With You,Sheriff,M,don't know it,1989,1980
Everytime You Go Away,Paul Young,M,don't know it,1985,1980
Last Night,Mar-Keys,M,don't know it,1961,1960
Simon Says,"1910 Fruitgum Company, The",M,don't know it,1968,1960
Good Luck Charm,Elvis Presley,M,don't know it,1962,1960
Confessions Part II,Usher,M,sounds familiar,2004,2000
Gangsta Lovin',Eve,M,sounds familiar,2002,2000
Hey Ma,Cam'ron,M,sounds familiar,2002,2000
What You Know,T.I.,M,sounds familiar,2006,2000
My Place,Nelly,M,sounds familiar,2004,2000
Quit Playing Games,"Backstreet Boys, The",M,sounds familiar,1997,1990
Always,Bon Jovi,M,sounds familiar,1994,1990
Can't Live Without Your Love And Affection,Nelson,M,sounds familiar,1990,1990
Been Around The World,Puff Daddy,M,sounds familiar,1998,1990
Exhale,Whitney Houston,M,sounds familiar,1995,1990
Wild Wild West,Will Smith,M,sounds familiar,1999,1990
Boombastic,Shaggy,M,sounds familiar,1995,1990
Tell Me It's Real,K-Ci and JoJo,M,sounds familiar,1999,1990
Love Me Do,"Beatles, The",M,sounds familiar,1964,1960
Calcutta,Lawrence Welk,M,sounds familiar,1961,1960
Roses Are Red,Bobby Vinton,M,sounds familiar,1962,1960
Unchained Melody,"Righteous Brothers, The",M,sounds familiar,1965,1960
Where The Boys Are,Connie Francis,M,sounds familiar,1961,1960
"Cara, Mia",Jay and the Americans,M,sounds familiar,1965,1960
Disco Duck,Rick Dees,M,sounds familiar,1976,1970
Cat's In The Cradle,Harry Chapin,M,sounds familiar,1974,1970
The Devil Went Down To Georgia,Charlie Daniels Band,M,sounds familiar,1979,1970
Don't Let The Sun Go Down On Me,Elton John,M,sounds familiar,1974,1970
Signs,Five Man Electrical Band,M,sounds familiar,1971,1970
Lonely Days,Bee Gees,M,sounds familiar,1971,1970
Crush On You,"Jets, The",M,sounds familiar,1986,1980
Armageddon It,Def Leppard,M,sounds familiar,1989,1980
King Of Pain,"Police, The",M,sounds familiar,1983,1980
State Of Shock,Jacksons,M,sounds familiar,1984,1980
I Love A Rainy Night,Eddie Rabbitt,M,sounds familiar,1981,1980
Don't Talk To Strangers,Rick Springfield,M,sounds familiar,1982,1980
Father Figure,George Michael,M,sounds familiar,1988,1980
Harden My Heart,Quarterflash,M,sounds familiar,1982,1980
Sexual Healing,Marvin Gaye,M,sounds familiar,1983,1980
For Your Eyes Only,Sheena Easton,M,sounds familiar,1981,1980
He'll Have To Stay,Jeanne Black,M,sounds familiar,1960,1960
Come A Little Bit Closer,Jay and the Americans,M,sounds familiar,1964,1960
You Don't Own Me,Lesley Gore,M,sounds familiar,1964,1960
Lonely,Akon,M,know it,2005,2000
Blurry,Puddle Of Mudd,M,know it,2001,2000
Case Of The Ex,Mya,M,know it,2000,2000
What A Girl Wants,Christina Aguilera,M,know it,2000,2000
Cleanin' Out My Closet,Eminem,M,know it,2002,2000
Lean Back,Terror Squad,M,know it,2004,2000
Angel,Sarah McLachlan,M,know it,1999,1990
Another Night,Real McCoy,M,know it,1994,1990
One More Night,Maroon 5,M,know it,2012,2010
The Loco-Motion,Little Eva,M,know it,1962,1960
Snoopy Vs The Red Baron,"Royal Guardsmen, The",M,know it,1966,1960
It's Your Thing,"Isley Brothers, The",M,know it,1969,1960
Light My Fire,Jose Feliciano,M,know it,1968,1960
Michael,"Highwaymen, The",M,know it,1961,1960
Bad Girls,Donna Summer,M,know it,1979,1970
You Should Be Dancing,Bee Gees,M,know it,1976,1970
American Pie,Don McLean,M,know it,1971,1970
I Still Haven't Found What I'm Looking For,U2,M,know it,1987,1980
Private Eyes,Daryl Hall and John Oates,M,know it,1981,1980
Jump,Van Halen,M,know it,1984,1980
Kokomo,"Beach Boys, The",M,know it,1988,1980
Rock With You,Michael Jackson,M,know it,1980,1980
My Boyfriend's Back,"Angels, The",M,know it,1963,1960
Good Vibrations,"Beach Boys, The",M,know it,1966,1960
Please Mr. Postman,"Marvelettes, The",M,know it,1961,1960
Dilemma,Nelly,M,singing the lyrics,2002,2000
Turn Me On,Kevin Lyttle,M,singing the lyrics,2004,2000
Dilemma,Nelly,M,singing the lyrics,2002,2000
Get The Party Started,Pink,M,singing the lyrics,2001,2000
Use Somebody,Kings Of Leon,M,singing the lyrics,2009,2000
Because Of You,Ne-Yo,M,singing the lyrics,2007,2000
TiK ToK,Ke$ha,M,singing the lyrics,2009,2000
Fallin',Alicia Keys,M,singing the lyrics,2001,2000
Get Busy,Sean Paul,M,singing the lyrics,2003,2000
Boulevard Of Broken Dreams,Green Day,M,singing the lyrics,2005,2000
One Of Us,Joan Osborne,M,singing the lyrics,1996,1990
Un-Break My Heart,Toni Braxton,M,singing the lyrics,1996,1990
The Sign,Ace Of Base,M,singing the lyrics,1994,1990
Can You Feel The Love Tonight,Elton John,M,singing the lyrics,1994,1990
Losing My Religion,R.E.M.,M,singing the lyrics,1991,1990
Semi-Charmed Life,Third Eye Blind,M,singing the lyrics,1997,1990
The Monster,Eminem Featuring Rihanna,M,singing the lyrics,2013,2010
Radioactive,Imagine Dragons,M,singing the lyrics,2013,2010
Say Something,A Great Big World & Christina Aguilera,M,singing the lyrics,2013,2010
Lighters,Bad Meets Evil Featuring Bruno Mars,M,singing the lyrics,2011,2010
Am I Wrong,Nico & Vinz,M,singing the lyrics,2014,2010
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,M,singing the lyrics,2011,2010
Anaconda,Nicki Minaj,M,singing the lyrics,2014,2010
When I Was Your Man,Bruno Mars,M,singing the lyrics,2013,2010
E.T.,Katy Perry,M,singing the lyrics,2011,2010
Hotline Bling,Drake,M,singing the lyrics,2015,2010
Bad Blood,Taylor Swift Featuring Kendrick Lamar,M,singing the lyrics,2015,2010
F**k You (Forget You),Cee Lo Green,M,singing the lyrics,2011,2010
Till The World Ends,Britney Spears,M,singing the lyrics,2011,2010
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,M,singing the lyrics,2015,2010
Problem,Ariana Grande Featuring Iggy Azalea,M,singing the lyrics,2014,2010
Whistle,Flo Rida,M,singing the lyrics,2012,2010
"Hold On, We're Going Home",Drake Featuring Majid Jordan,M,singing the lyrics,2013,2010
Fancy,Iggy Azalea Featuring Charli XCX,M,singing the lyrics,2014,2010
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,M,singing the lyrics,2011,2010
Habits (Stay High),Tove Lo,M,singing the lyrics,2014,2010
Teenage Dream,Katy Perry,M,singing the lyrics,2010,2010
Last Friday Night (T.G.I.F.),Katy Perry,M,singing the lyrics,2011,2010
Uptown Funk!,Mark Ronson Featuring Bruno Mars,M,singing the lyrics,2014,2010
